Name,StatusApril,Status,Type,Location,Description,FundingSource,ProjectTeam,ProjectTeamInfo,Image,Link,Center
Sanitary Sewer Rehabilitation: Urgent Sewer Project FY 2023,Construction,Construction,Sewer,Various locations throughout the City of Berkeley.,"The City of Berkeley Public Works Department will be rehabilitating the sanitary sewersystem at several locations throughout the City. Timeline Construction is expected to begin in mid-March and will take approximately four months to complete depending on weather or unforeseen conditions. Construction in theimmediate vicinity may not extend for this entire period.Standard work hours are 7:30 a.m. - 5:00 p.m., Monday - Friday. Possible Inconveniences Traffic control may cause delays by the work site, and streetclosures may be necessary but should not exceed 12 hours at a time. ""No Parking"" signswill be posted along the street 3 days in advance and will be enforced by the Police Department.Please see the posted signs for exact hours and locations as they may vary accordingto scheduled tasks. All other usual parking restrictions, including no parking forstreet cleaning, will still be in effect. Access to private driveways may be prohibited duringsome operations. Emergency vehicle access will be maintained at all times.No significant interruptions in sewer, water, electric, gas, or phone service are anticipated,though minimizing your water usage during this time is recommended. Property Owner and Resident Actions During the project, the City will replace thesanitary sewer mains and lower laterals. Property owners are encouraged to obtain aquote from the Contractor or any other contractors of their choice to replace their privatelateral (upper lateral) and to obtain a private sewer lateral certificate upon completion. ",['Sanitary Sewer Fund'],"['Koios Engineering Inc.', 'Curtis Brian', 'Adadu Yemane']","[['Koios Engineering Inc.', 'Contractor', '(415) 654-7298'], ['Curtis Brian', 'Engineering Inspector', 'Public Works'], ['Adadu Yemane', 'Project Manager', 'Public Works']]",https://berkeleyca.gov//sites/default/files/2023-02/Map%20from%2023-11544-C%20Public%20Notification%20-%20FY%2023%20Urgent%20Sewer%20Repairs.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/sanitary-sewer-rehabilitation-urgent-sewer-project-fy,
Santa Fe Trackbed to Park Conversion,Design,Design,Park,"This project plans to develop a new park on parcels of land formerly owned by the Santa Fe Railroad in South Berkeley. The parcels are located between Blake Street and Ward Street, crossing Acton Street.","The City of Berkeley plans to develop the former Santa Fe Right-of-Way parcels from Blake Street to Ward Street into new parkland. The City will perform required soil remediation and then construct: The project is currently in the design phase. To be included in the list to receive project updates, please contact the project team with subject “Please add me to Santa Fe Trackbed to Park Conversion email list” and provide your preferred contact information. The Santa Fe Trackbed to Park Conversion project is funded by Proposition 68 California Statewide Park Development and Community Revitalization Program (SPP) grant. Part of the State’s “Outdoors for All” initiative to enable all Californians to access parks and open space, the competitive CA SPP grant expands access to parks in underserved communities with new or enhanced parks. The City will remediate any soil contamination left by the site’s historic railroad use and ensure the site is safe for its future use as a new park. Initial soil sampling results show elevated levels of arsenic and lead in these four parcels. The City has posted signs on all four blocks. Initial soil sampling results can be found at this linkor go to the ""Documents"" section of this page. January 2023 Update The City’s case has been assigned to the CA Department of Toxic Substance Control (DTSC). To follow the environmental work for this project, please visit DTSC’s Berkeley Santa Fe Trackbed to Park project webpage. Rail service began along the Santa Fe Railroad Right-of-Way in 1884 and ran until 1980 when the City acquired the rail line property through Berkeley. In the 1980s, City of Berkeley converted several portions of the former Santa Fe parcels into public amenities, including the following: Cedar-Rose Park,Strawberry Creek Park, the Ohlone Greenway, the West Street Pathway, three housing authority projects. , and several community gardening sites (Northside, Peralta, Karl Linn, Bancroft, and Spiral Gardens). In 2021, the City received a $5 million grant from the California Proposition 68 Statewide Parks Program (SPP) to convert some of the last undeveloped Santa Fe parcels in South Berkeley into a new urban park. The grant application involved an extensive community process that led to a final conceptual plan for the new park that reflected community priorities. The conceptual plan submitted with the grant application and approved for funding is attached in the “Documents” section at the bottom of this webpage. Learn more about theCA SPP (Prop. 68) grant.",['Prop 68 CA Statewide Park Program'],"['Evelyn Chan', 'Stacey Rutherford ']","[['Evelyn Chan', 'Supervising Civil Engineer ', 'Parks, Recreation & Waterfront'], ['Stacey Rutherford ', 'Associate Civil Engineer ', 'Parks, Recreation & Waterfront']]",https://berkeleyca.gov//sites/default/files/2022-07/01%20Parcel%20between%20Blake%20and%20Parker_0.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/santa-fe-trackbed-park-conversion,
Selective Replacement of Timber Piles at the Berkeley Marina,Design,Design,Other Infrastructure,Inner Harbor of the Berkeley Marina,"This is aMeasure T1Phase 2 project. This project will repair, and/or replace the timber piles at the inner harbor of the Marina that are either deteriorated or missing with new concrete piles. The existing timber piles were installed in the 1960s and 1970s to support docks and above-water buildings. The project was advertised for construction bidding in January, 2023. The City anticipates completing the design and obtaining necessary regulatory and building permits by winter of 2022/23.","['Marina Fund', 'Measure T1']",['Nelson Lam'],"[['Nelson Lam', 'Supervising Civil Engineer', 'Parks, Recreation & Waterfront']]",https://berkeleyca.gov//sites/default/files/2022-10/Pile%20Replacement%20Area.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/selective-replacement-timber-piles-berkeley-marina,
Shattuck Reconfiguration and Pedestrian Safety Project,Completed,Completed,Transportation,The Shattuck Reconfiguration and Pedestrian Safety Project will repair and reconfigure Shattuck Avenue from Allston Way three blocks north through the Shattuck/University Avenue intersection.,"The Shattuck Reconfiguration and Pedestrian Safety Project will repair and reconfigure Shattuck Avenue from Allston Way three blocks north through the Shattuck/University Avenue intersection. The project will convert the west (southbound) leg of Shattuck into a four-lane, two-way street, eliminating the current circuitous movement for northbound traffic at the Shattuck/University intersection, while the east (northbound) leg of Shattuck will be narrowed to two lanes with angled parking to offset the loss of parking on the west leg of Shattuck. A concrete raised intersection will be built at the Shattuck (east leg)/Center Street intersection, which is intended to create a slow-speed vehicular crossing that is safer for pedestrians and would have the effect of making the east leg of Shattuck a calmer street. As a result, the west leg of Shattuck would become the preferred route for vehicular traffic passing through the downtown area, and the Shattuck/University intersection should become safer for pedestrians.",['Measure M'],"['shattuckreconfig@cityofberkeley.info', '']","[['shattuckreconfig@cityofberkeley.info'], ['']]",https://berkeleyca.gov//sites/default/files/2022-03/shattuck-avenue.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/shattuck-reconfiguration-and-pedestrian-safety-project,
Sidewalk Repair Project ,Construction,Construction,Sidewalk,Various Sidewalks throughout the City,This is a Measure T1 Phase 2 Project. The City shares the cost of sidewalk repair with residents through the 50-50 Program. There is a considerable backlog of resident applications for this program. The T1 funding for this project will make significant progress towards completing this work. Construction of the FY2022 Sidewalk Rehabilitation project is underway and is scheduled for completion in the summer of 2023. This project includes about 675 locations.,"['Measure T1', 'Measure B & BB', 'Capital Improvement Fund']",['Terrence Salonga '],"[['Terrence Salonga ', 'Associate Civil Engineer ', 'Public Works']]",https://berkeleyca.gov//sites/default/files/2022-04/Sidewalk%201.JPG,https://berkeleyca.gov/your-government/our-work/capital-projects/sidewalk-repair-project,
Solar Battery Project ,Construction,Planning,Facility,1901 Hearst Ave,This is a Measure T1 Phase 2 project. The Solar Battery project consists of installing a battery to store the electric energy produced by the solar panels. The North Berkeley Senior Center will be the first facility to host such a project and will serve as a pilot for future projects. This project will begin February 2023.,['Measure T1'],"['Elmar Kapfer ', 'Uriel Gonzalez']","[['Elmar Kapfer ', 'Supervising Civil Engineer ', 'Public Works'], ['Uriel Gonzalez', 'Civil Engineer ', 'Public Works']]",https://berkeleyca.gov//sites/default/files/2022-04/img-Solar-Battery.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/solar-battery-project,"[37.87381353353288, -122.27287903351117]"
South Berkeley Senior Center Renovation,Design,Design,Facility,2939 Ellis St,"This is a Measure T1 Phase 2 project. The Henry Ramsey Jr. South Berkeley Senior Center offers a variety of enrichment activities and support services designed to empower seniors in our community to learn, grow, and discover new ways to be actively engaged in living. The renovation project will include disaster preparedness, electrification, energy efficient building systems, and other enhancements to the community building. FEMA has approved the funding for a seismic upgrade.","['Measure T1', 'Federal Emergency Management Agency Grant']","['Elmar Kapfer ', 'Nick Cartegna']","[['Elmar Kapfer ', 'Supervising Civil Engineer ', 'Public Works'], ['Nick Cartegna', 'Associate Civil Engineer ', 'Public Works']]",https://berkeleyca.gov//sites/default/files/2022-04/img-South-Berkeley-Senior-Center.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/south-berkeley-senior-center-renovation,
Storm Drain Improvements,Completed,Completed,Storm,"Marin, Virginia, and Spruce Street","This is a Measure T1 Phase 2 project. This project replaces deteriorated storm drain systems at the following locations: Marin, Euclid, Spruce, High Court, Grizzly Peak, Shasta, John Hinkel Park, Virginia, and San Benito. Construction has been completed.","['Measure T1', 'Clean Storm Fund 616']","['Joe Enke', 'Srinivas Muktevi']","[['Joe Enke', 'Acting City Engineer ', 'Public Works'], ['Srinivas Muktevi', 'Supervising Civil Engineer ', 'Public Works']]",https://berkeleyca.gov//sites/default/files/2022-04/Storm%20Drain%201.JPG,https://berkeleyca.gov/your-government/our-work/capital-projects/storm-drain-improvements,
Strawberry Creek Park Playground Renovation and Restroom Replacement,Completed,Completed,Park,"1260 West Street, Berkeley, CA 94702","Situated in a residential area and close to multiple neighborhood schools, Strawberry Creek Park is heavily frequented by users of all ages and contains basketball, soccer, tennis and volley ball courts, a school-aged play area, a picnic area with BBQ, a restroom, an open lawn, and a natural creek. This project is considered Phase 2 of renovations, which included replacement of the restroom, renovation of the playground, and other site improvements. This project was completed in November 2020, and followed Phase 1 of renovations, which included resurfacing of the volleyball, tennis, and soccer courts, new fencing, and accessibility improvements completed in March 2019.","['Measure F', 'Measure T1']","['Isaac Carnegie', 'Evelyn Chan']","[['Isaac Carnegie', 'Associate Civil Engineer', 'Parks, Recreation & Waterfront'], ['Evelyn Chan', 'Supervising Civil Engineer', 'Parks, Recreation & Waterfront']]",https://berkeleyca.gov//sites/default/files/2022-04/img_StrawberryCreek-01.JPG,https://berkeleyca.gov/your-government/our-work/capital-projects/strawberry-creek-park-playground-renovation-and-restroom,
Street Rehabilitation - Hopkins Corridor Improvements,Design,Design,Street,"Hopkins Street from San Pablo Avenue to Sutter Street
","This is a Measure T1 Phase 2 project. This project is currently in the design phase. Final design, subject to Council approval of conceptual plans of Hopkins Street west of Gilman Street and review of parking study for the area between McGee Avenue and Gilman Street, is scheduled for early 2023. Based on the current scope and cost estimate, additional funding of approximately $3 million is required for the project. The current schedule has the project bidding in the spring of 2023, council award of contract in the summer of 2023, and start of construction in the Fall of 2023. ","['Measure T1', 'Vehicle Registration Fee (VRF)', 'Measure B & BB']",['Srinivas Muktevi'],"[['Srinivas Muktevi', 'Supervising Civil Engineer ', 'Public Works']]",https://berkeleyca.gov//sites/default/files/2022-04/Street%201.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/street-rehabilitation-hopkins-corridor-improvements,
Street Rehabilitation FY 2015,Completed,Completed,Street,"The Berkeley streets serviced were located at: Alcatraz, Channing, College, Durant, Dwight, Fulton, Hearst and Sacramento.","This project will resurface approximately 3.4 miles of City streets, and consists of pavement rehabilitation and surface seal. In addition to street pavement, the project incorporates many other improvements as part of a “complete street” approach that repairs or replaces street infrastructure such as curb ramps, curbs, sidewalks, drainage inlets and pipes, gutters, and striping.","['State Transportation Tax', 'Measure B & BB', 'Capital Improvement Fund']",['Public Works Engineering Division'],"[['Public Works Engineering Division', 'Public Works', '(510) 981-6300']]",https://berkeleyca.gov//sites/default/files/2023-01/channing-fy15_0.JPG,https://berkeleyca.gov/your-government/our-work/capital-projects/street-rehabilitation-fy-2015,
Street Rehabilitation FY 2016,Completed,Completed,Street,"The Berkeley streets serviced were located at: 9th, Belrose, Campus, Claremont Boulevard, Codornices, Derby, East Parnassus Court, Hawthorne Terrace, Heinz, Hilgard, Parker, Parnassus, Piedmont, Piedmont Crescent, Rose, Spruce, Virginia, Warring and West Parnassus Court.","This project will resurface approximately 3 miles of City streets, and consists of pavement rehabilitation and reconstruction. In addition to street pavement, the project incorporates many other improvements as part of a “complete street” approach that repairs or replaces street infrastructure such as curb ramps, curbs, sidewalks, drainage inlets and pipes, gutters and striping.","['State Transportation Tax', 'Measure B & BB', 'Capital Improvement Fund']",['Public Works Engineering Division'],"[['Public Works Engineering Division', 'Public Works', '(510) 981-6300']]",https://berkeleyca.gov//sites/default/files/2022-02/20210830_City_of_Berkeley_013.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/street-rehabilitation-fy-2016,
Street Rehabilitation FY 2017,Completed,Completed,Street,"The Berkeley streets serviced were located at: Bancroft, Contra Costa, Solano, The Alameda and Tulare.","This project will resurface approximately 1.8 miles of City streets, and consists of pavement rehabilitation and surface seal. In addition to street pavement, the project incorporates many other improvements as part of a “complete street” approach that repairs or replaces street infrastructure such as curb ramps, curbs, sidewalks, drainage inlets and pipes, gutters, and striping.","['State Transportation Tax', 'Measure B & BB', 'Capital Improvement Fund']",['Public Works Engineering Division'],"[['Public Works Engineering Division', 'Public Works', '(510) 981-6300']]",https://berkeleyca.gov//sites/default/files/2022-02/20210830_City_of_Berkeley_013.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/street-rehabilitation-fy-2017,
Street Rehabilitation FY 2020,Completed,Completed,Street,"The Berkeley streets serviced were located at: Acton, Arcade, Cedar, Center, Deakin, Dohr, Michigan, Roosevelt, Rose, Santa Fe, Shasta and West.","This project will resurface approximately 2.6 miles of City streets, and consists of pavement rehabilitation and surface seal. In addition to street pavement, the project incorporates many other improvements as part of a “complete street” approach that repairs or replaces street infrastructure such as curb ramps, curbs, sidewalks, drainage inlets and pipes, gutters, street signage, and striping.Among the Complete Streets improvements included are Bicycle Plan andPedestrian Master Plan recommendations to build a concrete island bicycle crossing at the 9th Street Bicycle Boulevard and Cedar Street intersection; install painted buffered and parking-protected bicycle lanes on Center Street; install painted bulbouts and sharrows on Santa Fe Avenue; and paint high visibility crosswalks at multiple locations.","['State Transportation Tax', 'Measure B & BB', 'Capital Improvement Fund', 'Clean Storm Fund 616']",['Public Works Engineering Division'],"[['Public Works Engineering Division', 'Public Works', '(510) 981-6300']]",https://berkeleyca.gov//sites/default/files/2023-01/cedar_9th_2020.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/street-rehabilitation-fy-2020,
Street Rehabilitation FY 2021,Completed,Completed,Street,"The Berkeley streets serviced were located at: Ada, Bancroft, Channing, Curtis, Emerson, Essex, Holly, Spruce and Second.","This project will resurface approximately 1.9 miles of City streets, and consists of pavement rehabilitation and surface seal. In addition to street pavement, the project incorporates many other improvements as part of a “complete street” approach that repairs or replaces street infrastructure such as curb ramps, curbs, sidewalks, drainage inlets and pipes, gutters, street signage, and striping.Among the Complete Streets improvements included are Bicycle Plan and
Pedestrian Master Plan recommendations to install buffered bicycle lanes on Channing
Way, reconfigure the bicycle median islands at the Channing Way and Martin Luther King
Jr. Way intersection, and paint high visibility crosswalks at multiple locations.","['State Transportation Tax', 'Measure B & BB', 'Vehicle Registration Fee (VRF)', 'Capital Improvement Fund']",['Public Works Engineering Division'],"[['Public Works Engineering Division', 'Public Works', '(510) 981-6300']]",https://berkeleyca.gov//sites/default/files/2022-02/20210830_City_of_Berkeley_013%20copy.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/street-rehabilitation-fy-2021,
Street Rehabilitation FY 2022,Completed,Completed,Street,"Browning Street from Addison to Dwight
Colusa Avenue from North City Limit to Solano
Delaware Street from Acton to Sacramento
Ellsworth Street from Stuart to Ashby
Fulton Street from Dwight to Stuart
Heinz Avenue from 7th to San Pablo
9th Street from Heinz to End near Berkeley Bowl
Stuart Street from Fulton to Ellsworth
Stuart Street from Benvenue to College
Sunset Lane from Grizzly Peak to Wildcat Canyon
Allston Way from Martin Luther King Jr. to Milvia - paver maintenance","The City of Berkeley Public Works Department will be rehabilitating the street pavement at several locations throughout the City. Timeline Construction is expected to begin in July/August 2022 and will take approximately three months to complete depending on weather and unforeseen conditions. Construction in the immediate vicinity may not extend for this entire period. Standard work hours are 7:30 a.m. - 5:00 p.m., Monday - Friday. Possible Inconveniences Traffic will be delayed at the work site and street closures may be necessary but will not exceed 12 hours at a time. ""No Parking"" signs will be posted along the street 3 days in advance and will be enforced by the Police Department. Please see the posted signs for exact hours and locations as they may vary according to scheduled tasks. All other usual parking restrictions, including no parking for street cleaning, will still be in effect. Access to private driveways may be prohibited during some operations. Emergency vehicle access will be maintained at all times. Property owner and resident actions","['Measure B & BB', 'Vehicle Registration Fee (VRF)', 'Capital Improvement Fund', 'State Transportation Tax', 'Senate Bill 1']","['Bay Cities Paving & Grading, Inc.', 'Randy Kong']","[['Bay Cities Paving & Grading, Inc.', 'Contractor', '(925) 687-6666'], ['Randy Kong', 'Project Manager', 'Public Works']]",https://berkeleyca.gov//sites/default/files/2022-07/Street-Rehabilitation-FY2022-Location-Map.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/street-rehabilitation-fy-2022,
Street Rehabilitation FY 2023,Construction,Construction,Street,"Channing Way from Sacramento Street to McKinley Avenue
Dana Street from Dwight Way to Ward Street
Durant Avenue from Milvia Street to Shattuck Avenue
Durant Avenue from Shattuck Avenue to Fulton Street
Derby Street from Telegraph Avenue to College Avenue
Creston Road from Sunset Lane to Grizzly Peak Boulevard
Dwight Way from Piedmont Avenue to End
Hillegass Avenue from Dwight Way to Woolsey Street
Latham Lane from Miller Avenue to Grizzly Peak Boulevard
McGee Avenue from Dwight Way to Russell Street
Miller Avenue from Hilldale Avenue to Shasta Road
Otis Street from Russell Street to Ashby Avenue
Rose Street from Sacramento Street to Martin Luther King Jr. Way
Woolsey Street from Hillegass Avenue to College Avenue
Tenth Street from University Avenue to Bancroft Way - speed table installation only","The City of Berkeley Public Works Department will be rehabilitating the street pavement at several locations throughout the City. Timeline Construction is expected to begin in June 2023 and will take approximately five months to complete depending on weather and unforeseen conditions. Construction in the immediate vicinity may not extend for this entire period. Standard work hours are 7:30 a.m. - 5:00 p.m., Monday - Friday. Possible Inconveniences Traffic will be delayed at the work site and street closures may be necessary but will not exceed 12 hours at a time. ""No Parking"" signs will be posted along the street 3 days in advance and will be enforced by the Police Department. Please see the posted signs for exact hours and locations as they may vary according to scheduled tasks. All other usual parking restrictions, including no parking for street cleaning, will still be in effect. Access to private driveways may be prohibited during some operations. Emergency vehicle access will be maintained at all times. Property owner and resident actions","['Capital Improvement Fund', 'Vehicle Registration Fee (VRF)', 'Measure B & BB', 'State Transportation Tax', 'Senate Bill 1']","['JV Lucas Paving, Inc.', 'Randy Kong']","[['JV Lucas Paving, Inc.', 'Contractor', '(925) 283-8027'], ['Randy Kong', 'Project Manager', 'Public Works']]",https://berkeleyca.gov//sites/default/files/2023-03/loc1map.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/street-rehabilitation-fy-2023,
Telegraph Avenue Multimodal Corridor Project,Planning,Planning,Transportation,Telegraph Avenue from Dwight Way to Woolsey Street,"The Telegraph Avenue Multimodal Corridor Project will develop concept plans for transportation safety improvements on Telegraph Avenue from Dwight Way to Woolsey Street. The project will include pedestrian safety improvements, upgrading the existing bike lanes, and transit improvements. This project implements the 2017 Bicycle Plan's recommendation for a ""Complete Street Corridor Study"" for Telegraph Avenue. Telegraph Avenue is also a major transit corridor in AC Transit's service network. This project aligns with the City's Transit-First Policy (Transportation Element Policy T-4). This project is funded by a grant from the Alameda County Transportation Commission. Funding for the next phases of detailed design and construction have not yet been secured.",['Alameda County Transportation Commission'],['Eric Anderson'],"[['Eric Anderson', 'Acting Principal Planner', 'Public Works']]",https://berkeleyca.gov//sites/default/files/2022-08/Telegraph-Campanile-view.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/telegraph-avenue-multimodal-corridor-project,
Telegraph-Channing Garage Restroom Renovation,Design,Design,Facility,2450 Durant Ave,"This is a Measure T1 Phase 2 project. The Telegraph-Channing Garage serves all members of the community and visitors with a place to park their vehicle while they shop, dine, or attend the university. The restrooms in the facility will be renovated with new plumbing fixtures, lighting, and architectural finishes to make them more welcoming to guests and ADA compliant.",['Measure T1'],"['Elmar Kapfer ', 'Titus Chen']","[['Elmar Kapfer ', 'Supervising Civil Engineer ', 'Public Works'], ['Titus Chen', 'Assistant Civil Engineer ', 'Public Works']]",https://berkeleyca.gov//sites/default/files/2022-04/img_Channing-Garage-Restroom-Renovation.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/telegraph-channing-garage-restroom-renovation,
Tom Bates Regional Sports Complex Restroom & Community Space,Design,Design,Park,"400-408 Gilman St, Berkeley, CA 94710","This is a Measure T1 Phase 2 project. The Tom Bates Regional Sports Complex is considered to be the most highly used fields in the region. The recently replaced artificial fields provide up to 300,000 players and serves approximately 19,000 youth and adults annually. The complex does not have a permanent meeting space or restroom at the site. The finalized space planning phase consists of a restroom, meeting room, and a storage area, with a priority on ease of access from the fields, minimal impact to parking, and good security. With the completion of the space planning phase, the remaining funds has been allocated to extend the sewer line as part of the ACTC’s Gilman Street at I-80 Interchange Project to serve this new restroom and community space facility. This project is currently in 30% design. A design team will be identified to begin final design to prepare construction documents and to obtain any applicable permits. Construction is anticipated to start in 2023.",['Measure T1'],['Nelson Lam'],"[['Nelson Lam', 'Supervising Civil Engineer', 'Parks, Recreation & Waterfront']]",https://berkeleyca.gov//sites/default/files/2022-04/img_TomBates-01_0.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/tom-bates-regional-sports-complex-restroom-community,
Tom Bates Regional Sports Complex Synthetic Turf Replacement ,Completed,Completed,Park,"400-408 Gilman St, Berkeley, CA 94710","This is a Measure T1 Phase 1 project. The artificial turf fields at the Tom Bates Regional Sports Complex are considered to be the most highly used fields in Northern California serving approximately 19,000 youth and adults who use these fields annually. This project is to replace the existing worn-out turf with a safer and more durable turf system that offers the best playability for users.",['Measure T1'],['Nelson Lam'],"[['Nelson Lam', 'Supervising Civil Engineer', 'Parks, Recreation & Waterfront']]",https://berkeleyca.gov//sites/default/files/2022-04/img_TomBates-01_0.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/tom-bates-regional-sports-complex-synthetic-turf,
Tuolumne Camp Construction,Completed,Completed,Facility,"Berkeley Tuolumne Camp, 31858 Hardin Flat Road, Groveland, CA 95321","Berkeley Tuolumne Camp, in operation since 1922, has been a highly regarded summer tradition for generations of campers. More than 4,000 individuals annually enjoyed fun-filled activities and heartfelt traditions at Tuolumne Camp. On August 25, 2013, Berkeley Tuolumne Camp was largely destroyed by the Rim Fire, one of the largest and most damaging wildfires in California’s history. This was a devastating setback for the City of Berkeley and generations of staff and campers. Of the 138 total structures at the Camp, only 18 tent cabins and the restroom near Sun City survived the fire. The Berkeley Tuolumne Camp Project will replace the Camp facilities that were destroyed by the Rim Fire in 2013. In order to comply with current state, local and federal code, Camp facilities have been relocated and reconfigured, and additional off-street parking will be constructed. The work includes construction of buildings, bridges, parking, pathways and utilities. Construction began in May 2020, and is expected to take about 2 years to complete, depending on weather or unforeseen conditions. No interruptions to local residential sewer, water, gas, electric or phone service are anticipated. Hardin Flat Road in the immediate vicinity of Camp will be subject to intermittent closure or traffic control during construction. The entire Berkeley Tuolumne Camp permit area will be closed to pedestrian and recreational users throughout the construction.",['Federal Emergency Management Agency Grant'],['Liza McNulty'],"[['Liza McNulty', 'Capital Improvement Program Manager', 'Parks, Recreation & Waterfront']]",https://berkeleyca.gov//sites/default/files/2022-10/BTC-cabins01-web.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/tuolumne-camp-construction,
Undergrounding Utility District No. 48 (UUD No. 48),Construction,Construction,Other Infrastructure,"178 residential parcels in the area of Grizzly Peak Boulevard, Senior Avenue, Summit Road, and Avenida Drive","This project will remove existing overhead utility infrastructure, such as utility poles and power lines, and place them underground. It will take place across 178 residential parcels in the area of Grizzly Peak Boulevard, Senior Avenue, Summit Road, and Avenida Drive. Learn more about the guidelines, benefits, and programs available forUtility Undergrounding. The project involves installing infrastructure in the public right-of-way for electrical and telecommunication facilities to provide for relocation of overhead utilities to underground. The work will involve installing conduits, utility boxes, surface mounted transformers, surface mounted pedestals, underground cables, retaining walls, street lighting, and other infrastructure required to remove the overhead facilities and utility poles. There will also be work on private property service laterals to convert the electrical and telecommunication service to underground. ",[],"['Dale Holder', 'Ron Nevels', 'Jacob Cordova', 'Luke Allen']","[['Dale Holder', 'Engineering Inspector', 'Public Works'], ['Ron Nevels', 'City Engineer', 'Public Works'], ['Jacob Cordova', 'PG&E Senior Customer Outreach Specialist', '(510) 730-2125'], ['Luke Allen', 'West Valley Construction ', '(650) 208-6490']]",https://berkeleyca.gov//sites/default/files/2023-03/District%20Border%201600%20pixel%20wide.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/undergrounding-utility-district-no-48-uud-no-48,
University West Bus Stops,Design,Design,Transportation,"The general limits of the project include the intersections of University Avenue at Acton Street and University Avenue at Bonar Street, extending approximately 100ft in each direction from the intersection along University Avenue.","The University West Bus Stops and Safety Project will upgrade four AC Transit bus stops at Acton Street and Bonar Street intersections of University Avenue. Improvements such as new bus shelters, improved boarding areas, and street repair will make it safer, easier, and more comfortable to take public transit, and supports policies laid out in the City's General Plan Transportation Element. The project will upgrade four existing bus stops at the following locations: The project scope includes new bus shelters, pedestrian bulb-outs, bus bulbs, bus pads, curb ramps, localized pavement repair, striping, and traffic signal improvements. The new bus shelters will also include solar-powered lighting, seating, and a transit map for the waiting area. This project supports the policies and actions of the City of Berkeley General Plan Transportation Element by making transit more convenient, dependable, and attractive, and by reducing the number of automobile trips in Berkeley as a result of increased transit use and alternative modes of transportation. The Transportation Element identifies the network of streets that necessitate efficient and effective transit services throughout the city. These streets are the highest priority for transit improvements, such as bus bulbs and bus shelters. In cases where a major street is identified as a Primary Transit Route, improvements are designed to prioritize the movement of public transportation vehicles through the corridor, increase transit use, and promote alternative modes of travel which help reduce the number of automobile trips along the corridor. The University West Bus Stops Project supports the following General Plan Transportation Element policies: The project is funded by a $550,000 Affordable Housing and Sustainable Communities (AHSC) grant allocation with supplemental funding made available through Alameda County Measure B and Measure BB Local Streets and Roads programs. The AHSC Program is a competitive state funding program that aims to reduce greenhouse gas emissions by funding compact affordable housing in conjunction with sustainable transportation improvements. The Program provides funding for affordable housing development and related infrastructure, as well as transportation-related amenities, and programs that encourage residents to walk, bike and use transit.",['Affordable Housing and Sustainable Communities (AHSC)'],"['Pedram Massoudi', 'David Hoffman']","[['Pedram Massoudi', 'Associate Transportation Engineer ', 'Public Works'], ['David Hoffman', 'Transportation Planner, Consultant', '(415) 649-6013']]",https://berkeleyca.gov//sites/default/files/2023-03/UniversityWestBusStopsGraphic.JPG,https://berkeleyca.gov/your-government/our-work/capital-projects/university-west-bus-stops,
