Name,Location,StartDate,LastUpdate,Type,Type_Level,Description,Owner
Pathway Repairs and Improvements,Various Locations,,,Sidewalk,State / County,"This is a Measure T1 Phase 2 project. This project will improve the citywide network of pedestrian paths. Construction is approximately 75% complete. Work has been performed at: Florida Walk, Fountain Walk, La Vereda Steps/Virginia Steps, Vincente Path, and new signage at numerous locations. Additional work in 2023 is pending at the following locations: Upper Columbia Path, Tunbridge Lane, Visalia Walk.",Berkeley
Presentation Park Rain Garden ,Allston Way at Strawberry Creek,,,Park,State / County,"A rain garden in Presentation Park collects, cleans and infiltrates storm water runoff from Allston Way before it enters Strawberry Creek. This project was funded by Measure M.",Berkeley
Public Safety Building Improvements,2100 MLK Jr. Way,,,Facility,State / County,"This is aMeasure T1 Phase 1 project. The Ronald T. Tsukamoto Public Safety Building is the headquarters for the City of Berkeley’s Fire and Police Departments. The building also includes a detention center, the City’s Public Safety Communications Center, staff locker rooms and gym, and a shooting range. This project includes feasibility and cost assessment to install back-up cooling units for the IT server room.",Berkeley
Rain Garden at Vine and Spruce ,Vine Street and Spruce Street,,,Storm,State / County,"Storm water runoff from Vine Street is captured in an inlet and routed into a planted bio retention area (rain garden) inside the traffic circle. This area reduces water volume on the street by holding the water temporarily, allowing it to infiltrate slowly through the vegetation and porous soil and recharge groundwater. This project was funded by Measure M.",Berkeley
Redesigning Adeline Street at Ashby BART,The Adeline Street at Ashby BART project will reconfigure Adeline Street and create a public plaza on the west side of Adeline Street all the way between Ashby Avenue and Martin Luther King Jr. Way.,,,Transportation,State / County,"The Adeline at Ashby BART project presents an opportunity to transform a street that is currently challenging for pedestrians and people riding bikes, and lacking in usable public space, into a safe and welcoming street.  The project builds on the Adeline Corridor Specific Plan effort and responds to a City Council referral to analyze the potential for a redesign of part of Adeline Street in order to increase safety for pedestrians, cyclists, and people living with disabilities, while also meeting the needs of public transit and emergency vehicles. The study is evaluating a “road diet” that reduces the width of Adeline Street adjacent to the Ashby BART station from the current four traffic lanes to two lanes.  The study will develop and evaluate conceptual design options that work toward achieving project goals and priorities, including accommodating the Berkeley Flea Market. Project Meeting Schedule October 3, 2022: Community Meeting October 20, 2022: Transportation & Infrastructure Commission Meeting November 2022: City Council consideration and potential adoption of design concept",Berkeley
Replacement of Docks D & E at the Berkeley Marina,Berkeley Marina – Docks D & E,,,Other Infrastructure,State / County,This is aMeasure T1Phase 2 project. The project for the replacement of Docks D & E includes: The project is currently in 60% design including preparation of CEQA and regulatory permitting documents. The City anticipates completing the design and obtaining necessary regulatory and building permits by fall of 2023.,Berkeley
Replacing Traffic Barriers with Planter Boxes,Various Locations,,,Street,State / County,"This is a Measure T1 Phase 2 project. This project will replace existing traffic barriers, known as bollards, with landscaped planter boxes at locations throughout the City.
 Three sites have been identified for this project: Woolsey/Hillegass, Fulton/Ashby, and Harmon/California. The next step is to start final design.",Berkeley
Restrooms (3) in the Public Right of Way,"Telegraph Ave @ Channing Way
San Pablo/University Ave
Adeline/Alcatraz Ave",,,Other Infrastructure,State / County,"This is a Measure T1 Phase 2 project. In 2018, the City conducted a Citywide Restroom study. Upon completion of the study in 2020, the team developed a plan and based on those recommendations, three outdoor public restrooms will be installed at the above locations.The outdoor restroom at the Telegraph Channing Garage is in the bidding phase and will come back to Council to approve any resulting contract. The restrooms at University/San Pablo and Alcatraz/Adeline have been located and are being surveyed. Both projects are now in the 30% design phase. The next deliverable will be a 60% design set of drawings, specification list, and cost estimate.",Berkeley
Rose Garden Renovations,"Berkeley Rose Garden, located at 1200 Euclid Avenue.",,,Park,State / County,"This is aMeasure T1 Phase 1 project. With 1,500 rose bushes, 250 varieties of roses, and views of the San Francisco Bay and the Golden Gate Bridge, the Berkeley Rose Garden is a popular attraction for both residents and tourists. The renovation projects were phased, starting in 2016 and concluded in August 2021. Improvements included: the demolition and reconstruction of the historic redwood pergola and trellis; accessibility improvements to provide an accessible path of travel from Euclid Avenue, to the public restrooms, playgrounds, the basketball court, tennis court, and to the center of the pergola; demolition and reconstruction of historic site retaining walls; and a completely new irrigation system. Renovations also included restroom renovation, tennis court repairs and resurfacing, new fencing, and various other site improvements.",Berkeley
Sacramento Complete Streets Project,"The purpose of the Sacramento Complete Streets Improvements Project is to improve pedestrian and bicyclist safety at the following intersections of Sacramento Street: Virginia Street, Delaware Street, University Avenue, and Addison Street. Construction of the Project began in July 2020 and is anticipated to be completed in December 2021.",,,Transportation,State / County,"This Project addresses two City Council referrals for intersection safety improvements that are high-priority projects in the Pedestrian Master Plan – Sacramento Street at Addison Street (High Priority Project #4) and Sacramento Street at Virginia Street (High Priority Project #24). The improvements at Virginia Street and Delaware Street also address Tier 1 priority projects from the Bicycle Plan. In general, the work of this Project includes construction of new sidewalk extensions with directional curb ramps that meet the standards of the Americans with Disabilities Act (ADA); new pavement markings, including crosswalk, vehicular lane, and bike lane markings; a new traffic signal at the Virginia Street intersection; and dedicated left turn traffic signal phases at the University Avenue intersection to eliminate conflicts between pedestrians and left turning vehicles. For bicyclists that are comfortable sharing the roadway with a low volume of motor vehicles, the proposed new traffic signal at the Virginia Street intersection will improve safety for bicyclists along the Virginia Street bicycle boulevard and will encourage more bicycle riders to use this route. There will also be safety-related improvements for bicyclists that prefer to ride on a separated pathway, away from motor vehicles. City staff have been working closely with Bay Area Rapid Transit (BART) on the latter’s proposed bicycle and motor vehicle ingress and egress modifications at the North Berkeley BART station. BART’s project will provide a needed link between two segments of the Ohlone Greenway pathway that are separated by this BART station, via dedicated bike lanes that will route bicyclists through the BART station grounds. BART’s construction project is expected to begin several months after the start of construction on the Sacramento Complete Streets Improvements Project. City staff hosted community meetings on January 28 and April 16, 2019 to solicit public input on the Project. The Project design was subsequently refined, and on May 15, 2019, staff presented the Project to a subcommittee of the Transportation Commission for comment. The Project design was refined based on comments received, and on June 20, 2019, staff presented the Project to the Transportation Commission. The Commission was supportive of the Project, and provided additional comments, which staff used to finalize the design documents.",Berkeley
San Pablo Park Playground and Tennis Court Renovation ,"2800 Park Street, Berkeley, CA 94702",,,Park,State / County,"San Pablo Parkoffers a wide range of recreational activities for all ages. The park features picnic areas, baseball/softball fields, basketball courts, tennis courts, and play areas for ages 2-5 and ages 5-12. This project included replacement of the play structures, resurfacing of the tennis courts, new fencing, new bleachers, new shade structures, new drinking fountains as well as accessibility improvements. This project was completed in April 2021.",Berkeley
"Sanitary Sewer Rehabilitation: El Camino Real, Alvarado Rd. and others","Tremont, Eton, Alcatraz, Mystic/Brookside backline, Hazel, Domingo, El Camino, Vicente, Alvarado, Tunnel, Roble and Chabot backline",,,Sewer,State / County,"The City of Berkeley Public Works Department will be rehabilitating the sanitary sewer system at several locations throughout the City. Construction is expected to take approximatelyfour months to complete depending on weather or unforeseen conditions. Construction inthe immediate vicinity may not extend for this entire period.Standard work hours are 7:30 a.m. - 5:00 p.m., Monday - Friday. Traffic control may cause delays by the work site, and streetclosures may be necessary but will not exceed 12 hours at a time. ""No Parking"" signs willbe posted along the street 3 days in advance and will be enforced by the Police Department.Please see the posted signs for exact hours and locations as they may vary accordingto scheduled tasks. All other usual parking restrictions, including no parking for streetcleaning, will still be in effect. Access to private driveways may be prohibited during someoperations. Emergency vehicle access will be maintained at all times.No significant interruptions in sewer, water, electric, gas, or phone service are anticipated,though minimizing your water usage during this time is recommended. During the project, the City will replace thesanitary sewer mains and lower laterals. Property owners are encouraged to obtain aquote from the Contractor or any other contractors of their choice to replace their privatelateral (upper lateral) and to obtain a private sewer lateral certificate upon completion.",Berkeley
"Sanitary Sewer Rehabilitation: Grizzly Peak backline, Euclid backline and others","Grizzly Peak Boulevard backline, Euclid Avenue backline, Cragmont Avenue backline, Euclid Avenue, Wildcat Canyon Road, Woodhaven Road, Keeler Avenue, Spruce Street, and Eunice Street.",,,Sewer,State / County,"The City of Berkeley Public Works Department will be rehabilitating the sanitary sewer system at several locations throughout the City. Timeline Construction will take approximately four months to complete depending on weather or unforeseen conditions. Construction in the immediate vicinity may not extend for this entire period. Standard work hours are 7:30 a.m. - 5:00 p.m., Monday - Friday. Possible Inconveniences Traffic control may cause delays by the work site, and street closures may be necessary but will not exceed 12 hours at a time. ""No Parking"" signs will be posted along the street 3 days in advance and will be enforced by the Police Department. Please see the posted signs for exact hours and locations as they may vary according to scheduled tasks. All other usual parking restrictions, including no parking for street cleaning, will still be in effect. Access to private driveways may be prohibited during some operations. Emergency vehicle access will be maintained at all times. No significant interruptions in sewer, water, electric, gas, or phone service are anticipated, though minimizing your water usage during this time is recommended. Property owner and resident actions During the project, the City will replace the sanitary sewer mains and lower laterals. Property owners are encouraged to obtain a quote from the Contractor or any other contractors of their choice to replace their private lateral (upper lateral) and to obtain a private sewer lateral certificate upon completion.",Berkeley
Sanitary Sewer Rehabilitation: Hearst and others,"Hearst Avenue, Scenic Avenue, Euclid Avenue, Le Conte Avenue, Arch Street, CedarStreet, La Loma Avenue, Le Roy Avenue, Piedmont Avenue, Hillside Avenue, Bancroft Way, Durant Avenue,Kelsey Street, Palm Court, Russell Street and Backline, Claremont Avenue, Avalon Backline, Garber Street Backline,Belrose Avenue Backline, University Avenue, Alvarado Road, and Vincente Road.",,,Sewer,State / County,"The City of Berkeley Public Works Department will be rehabilitating the sanitary sewer system at several locations throughout the City. Construction will take approximately four months to complete depending on weather or unforeseen conditions. Construction in the immediate vicinity may not extend for this entire period. Standard work hours are 7:30 a.m. - 5:00 p.m., Monday - Friday. Traffic control may cause delays by the work site, and street closures may be necessary but will not exceed 12 hours at a time. ""No Parking"" signs will be posted along the street 3 days in advance and will be enforced by the Police Department. Please see the posted signs for exact hours and locations as they may vary according to scheduled tasks. All other usual parking restrictions, including no parking for street cleaning, will still be in effect. Access to private driveways may be prohibited during some operations. Emergency vehicle access will be maintained at all times. No significant interruptions in sewer, water, electric, gas, or phone service are anticipated, though minimizing your water usage during this time is recommended. During the project, the City will replace the sanitary sewer mains and lower laterals. Property owners are encouraged to obtain a quote from the Contractor or any other contractors of their choice to replace their private lateral (upper lateral) and to obtain a private sewer lateral certificate upon completion.",Berkeley
Sanitary Sewer Rehabilitation: Parnassus and others,"Various locations throughout the City of Berkeley including Parnassus Road, East Parnassus Court, West Parnassus Court, Del Mar Avenue, Summit Road, La Loma Avenue, Tamalpais Road and others.",,,Sewer,State / County,"The City of Berkeley Public Works Department will be rehabilitating the sanitary sewer system at several locations throughout the City. Construction is expected to take approximatelyfour months to complete depending on weather or unforeseen conditions. Construction inthe immediate vicinity may not extend for this entire period.Standard work hours are 7:30 a.m. - 5:00 p.m., Monday - Friday. Traffic control may cause delays by the work site, and streetclosures may be necessary but will not exceed 12 hours at a time. ""No Parking"" signs willbe posted along the street 3 days in advance and will be enforced by the Police Department.Please see the posted signs for exact hours and locations as they may vary accordingto scheduled tasks. All other usual parking restrictions, including no parking for streetcleaning, will still be in effect. Access to private driveways may be prohibited during someoperations. Emergency vehicle access will be maintained at all times.No significant interruptions in sewer, water, electric, gas, or phone service are anticipated,though minimizing your water usage during this time is recommended. During the project, the City will replace thesanitary sewer mains and lower laterals. Property owners are encouraged to obtain aquote from the Contractor or any other contractors of their choice to replace their privatelateral (upper lateral) and to obtain a private sewer lateral certificate upon completion.",Berkeley
Sanitary Sewer Rehabilitation: Shattuck Avenue,Shattuck Avenue from Derby Street to Allston Way and Shattuck Avenue from University Avenue to Vine Street.,,,Sewer,State / County,"The City of Berkeley Public Works Department will be rehabilitating the sanitary sewersystem at several locations throughout the City. Construction is expected to begin in mid-April and will take approximately sixmonths to complete depending on weather or unforeseen conditions. Construction in theimmediate vicinity may not extend for this entire period.Standard work hours are 7:30 a.m. - 5:00 p.m., Monday - Friday. Traffic control may cause delays by the work site, and streetclosures may be necessary but should not exceed 12 hours at a time. ""No Parking"" signswill be posted along the street 3 days in advance and will be enforced by the Police Department.Please see the posted signs for exact hours and locations as they may vary accordingto scheduled tasks. All other usual parking restrictions, including no parking forstreet cleaning, will still be in effect. Access to private driveways may be prohibited duringsome operations. Emergency vehicle access will be maintained at all times.No significant interruptions in sewer, water, electric, gas, or phone service are anticipated,though minimizing your water usage during this time is recommended. During the project, the City will replace thesanitary sewer mains and lower laterals. Property owners are encouraged to obtain aquote from the Contractor or any other contractors of their choice to replace their privatelateral (upper lateral) and to obtain a private sewer lateral certificate upon completion.",Berkeley
Sanitary Sewer Rehabilitation: Urgent Sewer Project FY 2023,Various locations throughout the City of Berkeley.,,,Sewer,State / County,"The City of Berkeley Public Works Department will be rehabilitating the sanitary sewersystem at several locations throughout the City. Timeline Construction is expected to begin in mid-March and will take approximately four months to complete depending on weather or unforeseen conditions. Construction in theimmediate vicinity may not extend for this entire period.Standard work hours are 7:30 a.m. - 5:00 p.m., Monday - Friday. Possible Inconveniences Traffic control may cause delays by the work site, and streetclosures may be necessary but should not exceed 12 hours at a time. ""No Parking"" signswill be posted along the street 3 days in advance and will be enforced by the Police Department.Please see the posted signs for exact hours and locations as they may vary accordingto scheduled tasks. All other usual parking restrictions, including no parking forstreet cleaning, will still be in effect. Access to private driveways may be prohibited duringsome operations. Emergency vehicle access will be maintained at all times.No significant interruptions in sewer, water, electric, gas, or phone service are anticipated,though minimizing your water usage during this time is recommended. Property Owner and Resident Actions During the project, the City will replace thesanitary sewer mains and lower laterals. Property owners are encouraged to obtain aquote from the Contractor or any other contractors of their choice to replace their privatelateral (upper lateral) and to obtain a private sewer lateral certificate upon completion. ",Berkeley
Santa Fe Trackbed to Park Conversion,"This project plans to develop a new park on parcels of land formerly owned by the Santa Fe Railroad in South Berkeley. The parcels are located between Blake Street and Ward Street, crossing Acton Street.",,,Park,State / County,"The City of Berkeley plans to develop the former Santa Fe Right-of-Way parcels from Blake Street to Ward Street into new parkland. The City will perform required soil remediation and then construct: The project is currently in the design phase. To be included in the list to receive project updates, please contact the project team with subject “Please add me to Santa Fe Trackbed to Park Conversion email list” and provide your preferred contact information. The Santa Fe Trackbed to Park Conversion project is funded by Proposition 68 California Statewide Park Development and Community Revitalization Program (SPP) grant. Part of the State’s “Outdoors for All” initiative to enable all Californians to access parks and open space, the competitive CA SPP grant expands access to parks in underserved communities with new or enhanced parks. The City will remediate any soil contamination left by the site’s historic railroad use and ensure the site is safe for its future use as a new park. Initial soil sampling results show elevated levels of arsenic and lead in these four parcels. The City has posted signs on all four blocks. Initial soil sampling results can be found at this linkor go to the ""Documents"" section of this page. January 2023 Update The City’s case has been assigned to the CA Department of Toxic Substance Control (DTSC). To follow the environmental work for this project, please visit DTSC’s Berkeley Santa Fe Trackbed to Park project webpage. Rail service began along the Santa Fe Railroad Right-of-Way in 1884 and ran until 1980 when the City acquired the rail line property through Berkeley. In the 1980s, City of Berkeley converted several portions of the former Santa Fe parcels into public amenities, including the following: Cedar-Rose Park,Strawberry Creek Park, the Ohlone Greenway, the West Street Pathway, three housing authority projects. , and several community gardening sites (Northside, Peralta, Karl Linn, Bancroft, and Spiral Gardens). In 2021, the City received a $5 million grant from the California Proposition 68 Statewide Parks Program (SPP) to convert some of the last undeveloped Santa Fe parcels in South Berkeley into a new urban park. The grant application involved an extensive community process that led to a final conceptual plan for the new park that reflected community priorities. The conceptual plan submitted with the grant application and approved for funding is attached in the “Documents” section at the bottom of this webpage. Learn more about theCA SPP (Prop. 68) grant.",Berkeley
Selective Replacement of Timber Piles at the Berkeley Marina,Inner Harbor of the Berkeley Marina,,,Other Infrastructure,State / County,"This is aMeasure T1Phase 2 project. This project will repair, and/or replace the timber piles at the inner harbor of the Marina that are either deteriorated or missing with new concrete piles. The existing timber piles were installed in the 1960s and 1970s to support docks and above-water buildings. The project was advertised for construction bidding in January, 2023. The City anticipates completing the design and obtaining necessary regulatory and building permits by winter of 2022/23.",Berkeley
Shattuck Reconfiguration and Pedestrian Safety Project,The Shattuck Reconfiguration and Pedestrian Safety Project will repair and reconfigure Shattuck Avenue from Allston Way three blocks north through the Shattuck/University Avenue intersection.,,,Transportation,State / County,"The Shattuck Reconfiguration and Pedestrian Safety Project will repair and reconfigure Shattuck Avenue from Allston Way three blocks north through the Shattuck/University Avenue intersection. The project will convert the west (southbound) leg of Shattuck into a four-lane, two-way street, eliminating the current circuitous movement for northbound traffic at the Shattuck/University intersection, while the east (northbound) leg of Shattuck will be narrowed to two lanes with angled parking to offset the loss of parking on the west leg of Shattuck. A concrete raised intersection will be built at the Shattuck (east leg)/Center Street intersection, which is intended to create a slow-speed vehicular crossing that is safer for pedestrians and would have the effect of making the east leg of Shattuck a calmer street. As a result, the west leg of Shattuck would become the preferred route for vehicular traffic passing through the downtown area, and the Shattuck/University intersection should become safer for pedestrians.",Berkeley
Sidewalk Repair Project ,Various Sidewalks throughout the City,,,Sidewalk,State / County,This is a Measure T1 Phase 2 Project. The City shares the cost of sidewalk repair with residents through the 50-50 Program. There is a considerable backlog of resident applications for this program. The T1 funding for this project will make significant progress towards completing this work. Construction of the FY2022 Sidewalk Rehabilitation project is underway and is scheduled for completion in the summer of 2023. This project includes about 675 locations.,Berkeley
Solar Battery Project ,1901 Hearst Ave,,,Facility,State / County,This is a Measure T1 Phase 2 project. The Solar Battery project consists of installing a battery to store the electric energy produced by the solar panels. The North Berkeley Senior Center will be the first facility to host such a project and will serve as a pilot for future projects. This project will begin February 2023.,Berkeley
South Berkeley Senior Center Renovation,2939 Ellis St,,,Facility,State / County,"This is a Measure T1 Phase 2 project. The Henry Ramsey Jr. South Berkeley Senior Center offers a variety of enrichment activities and support services designed to empower seniors in our community to learn, grow, and discover new ways to be actively engaged in living. The renovation project will include disaster preparedness, electrification, energy efficient building systems, and other enhancements to the community building. FEMA has approved the funding for a seismic upgrade.",Berkeley
Storm Drain Improvements,"Marin, Virginia, and Spruce Street",,,Storm,State / County,"This is a Measure T1 Phase 2 project. This project replaces deteriorated storm drain systems at the following locations: Marin, Euclid, Spruce, High Court, Grizzly Peak, Shasta, John Hinkel Park, Virginia, and San Benito. Construction has been completed.",Berkeley
Strawberry Creek Park Playground Renovation and Restroom Replacement,"1260 West Street, Berkeley, CA 94702",,,Park,State / County,"Situated in a residential area and close to multiple neighborhood schools, Strawberry Creek Park is heavily frequented by users of all ages and contains basketball, soccer, tennis and volley ball courts, a school-aged play area, a picnic area with BBQ, a restroom, an open lawn, and a natural creek. This project is considered Phase 2 of renovations, which included replacement of the restroom, renovation of the playground, and other site improvements. This project was completed in November 2020, and followed Phase 1 of renovations, which included resurfacing of the volleyball, tennis, and soccer courts, new fencing, and accessibility improvements completed in March 2019.",Berkeley
Street Rehabilitation - Hopkins Corridor Improvements,"Hopkins Street from San Pablo Avenue to Sutter Street
",,,Street,State / County,"This is a Measure T1 Phase 2 project. This project is currently in the design phase. Final design, subject to Council approval of conceptual plans of Hopkins Street west of Gilman Street and review of parking study for the area between McGee Avenue and Gilman Street, is scheduled for early 2023. Based on the current scope and cost estimate, additional funding of approximately $3 million is required for the project. The current schedule has the project bidding in the spring of 2023, council award of contract in the summer of 2023, and start of construction in the Fall of 2023. ",Berkeley
Street Rehabilitation FY 2015,"The Berkeley streets serviced were located at: Alcatraz, Channing, College, Durant, Dwight, Fulton, Hearst and Sacramento.",,,Street,State / County,"This project will resurface approximately 3.4 miles of City streets, and consists of pavement rehabilitation and surface seal. In addition to street pavement, the project incorporates many other improvements as part of a “complete street” approach that repairs or replaces street infrastructure such as curb ramps, curbs, sidewalks, drainage inlets and pipes, gutters, and striping.",Berkeley
Street Rehabilitation FY 2016,"The Berkeley streets serviced were located at: 9th, Belrose, Campus, Claremont Boulevard, Codornices, Derby, East Parnassus Court, Hawthorne Terrace, Heinz, Hilgard, Parker, Parnassus, Piedmont, Piedmont Crescent, Rose, Spruce, Virginia, Warring and West Parnassus Court.",,,Street,State / County,"This project will resurface approximately 3 miles of City streets, and consists of pavement rehabilitation and reconstruction. In addition to street pavement, the project incorporates many other improvements as part of a “complete street” approach that repairs or replaces street infrastructure such as curb ramps, curbs, sidewalks, drainage inlets and pipes, gutters and striping.",Berkeley
Street Rehabilitation FY 2017,"The Berkeley streets serviced were located at: Bancroft, Contra Costa, Solano, The Alameda and Tulare.",,,Street,State / County,"This project will resurface approximately 1.8 miles of City streets, and consists of pavement rehabilitation and surface seal. In addition to street pavement, the project incorporates many other improvements as part of a “complete street” approach that repairs or replaces street infrastructure such as curb ramps, curbs, sidewalks, drainage inlets and pipes, gutters, and striping.",Berkeley
Street Rehabilitation FY 2020,"The Berkeley streets serviced were located at: Acton, Arcade, Cedar, Center, Deakin, Dohr, Michigan, Roosevelt, Rose, Santa Fe, Shasta and West.",,,Street,State / County,"This project will resurface approximately 2.6 miles of City streets, and consists of pavement rehabilitation and surface seal. In addition to street pavement, the project incorporates many other improvements as part of a “complete street” approach that repairs or replaces street infrastructure such as curb ramps, curbs, sidewalks, drainage inlets and pipes, gutters, street signage, and striping.Among the Complete Streets improvements included are Bicycle Plan andPedestrian Master Plan recommendations to build a concrete island bicycle crossing at the 9th Street Bicycle Boulevard and Cedar Street intersection; install painted buffered and parking-protected bicycle lanes on Center Street; install painted bulbouts and sharrows on Santa Fe Avenue; and paint high visibility crosswalks at multiple locations.",Berkeley
Street Rehabilitation FY 2021,"The Berkeley streets serviced were located at: Ada, Bancroft, Channing, Curtis, Emerson, Essex, Holly, Spruce and Second.",,,Street,State / County,"This project will resurface approximately 1.9 miles of City streets, and consists of pavement rehabilitation and surface seal. In addition to street pavement, the project incorporates many other improvements as part of a “complete street” approach that repairs or replaces street infrastructure such as curb ramps, curbs, sidewalks, drainage inlets and pipes, gutters, street signage, and striping.Among the Complete Streets improvements included are Bicycle Plan and
Pedestrian Master Plan recommendations to install buffered bicycle lanes on Channing
Way, reconfigure the bicycle median islands at the Channing Way and Martin Luther King
Jr. Way intersection, and paint high visibility crosswalks at multiple locations.",Berkeley
Street Rehabilitation FY 2022,"Browning Street from Addison to Dwight
Colusa Avenue from North City Limit to Solano
Delaware Street from Acton to Sacramento
Ellsworth Street from Stuart to Ashby
Fulton Street from Dwight to Stuart
Heinz Avenue from 7th to San Pablo
9th Street from Heinz to End near Berkeley Bowl
Stuart Street from Fulton to Ellsworth
Stuart Street from Benvenue to College
Sunset Lane from Grizzly Peak to Wildcat Canyon
Allston Way from Martin Luther King Jr. to Milvia - paver maintenance",,,Street,State / County,"The City of Berkeley Public Works Department will be rehabilitating the street pavement at several locations throughout the City. Timeline Construction is expected to begin in July/August 2022 and will take approximately three months to complete depending on weather and unforeseen conditions. Construction in the immediate vicinity may not extend for this entire period. Standard work hours are 7:30 a.m. - 5:00 p.m., Monday - Friday. Possible Inconveniences Traffic will be delayed at the work site and street closures may be necessary but will not exceed 12 hours at a time. ""No Parking"" signs will be posted along the street 3 days in advance and will be enforced by the Police Department. Please see the posted signs for exact hours and locations as they may vary according to scheduled tasks. All other usual parking restrictions, including no parking for street cleaning, will still be in effect. Access to private driveways may be prohibited during some operations. Emergency vehicle access will be maintained at all times. Property owner and resident actions",Berkeley
Street Rehabilitation FY 2023,"Channing Way from Sacramento Street to McKinley Avenue
Dana Street from Dwight Way to Ward Street
Durant Avenue from Milvia Street to Shattuck Avenue
Durant Avenue from Shattuck Avenue to Fulton Street
Derby Street from Telegraph Avenue to College Avenue
Creston Road from Sunset Lane to Grizzly Peak Boulevard
Dwight Way from Piedmont Avenue to End
Hillegass Avenue from Dwight Way to Woolsey Street
Latham Lane from Miller Avenue to Grizzly Peak Boulevard
McGee Avenue from Dwight Way to Russell Street
Miller Avenue from Hilldale Avenue to Shasta Road
Otis Street from Russell Street to Ashby Avenue
Rose Street from Sacramento Street to Martin Luther King Jr. Way
Woolsey Street from Hillegass Avenue to College Avenue
Tenth Street from University Avenue to Bancroft Way - speed table installation only",,,Street,State / County,"The City of Berkeley Public Works Department will be rehabilitating the street pavement at several locations throughout the City. Timeline Construction is expected to begin in June 2023 and will take approximately five months to complete depending on weather and unforeseen conditions. Construction in the immediate vicinity may not extend for this entire period. Standard work hours are 7:30 a.m. - 5:00 p.m., Monday - Friday. Possible Inconveniences Traffic will be delayed at the work site and street closures may be necessary but will not exceed 12 hours at a time. ""No Parking"" signs will be posted along the street 3 days in advance and will be enforced by the Police Department. Please see the posted signs for exact hours and locations as they may vary according to scheduled tasks. All other usual parking restrictions, including no parking for street cleaning, will still be in effect. Access to private driveways may be prohibited during some operations. Emergency vehicle access will be maintained at all times. Property owner and resident actions",Berkeley
Telegraph Avenue Multimodal Corridor Project,Telegraph Avenue from Dwight Way to Woolsey Street,,,Transportation,State / County,"The Telegraph Avenue Multimodal Corridor Project will develop concept plans for transportation safety improvements on Telegraph Avenue from Dwight Way to Woolsey Street. The project will include pedestrian safety improvements, upgrading the existing bike lanes, and transit improvements. This project implements the 2017 Bicycle Plan's recommendation for a ""Complete Street Corridor Study"" for Telegraph Avenue. Telegraph Avenue is also a major transit corridor in AC Transit's service network. This project aligns with the City's Transit-First Policy (Transportation Element Policy T-4). This project is funded by a grant from the Alameda County Transportation Commission. Funding for the next phases of detailed design and construction have not yet been secured.",Berkeley
Telegraph-Channing Garage Restroom Renovation,2450 Durant Ave,,,Facility,State / County,"This is a Measure T1 Phase 2 project. The Telegraph-Channing Garage serves all members of the community and visitors with a place to park their vehicle while they shop, dine, or attend the university. The restrooms in the facility will be renovated with new plumbing fixtures, lighting, and architectural finishes to make them more welcoming to guests and ADA compliant.",Berkeley
Tom Bates Regional Sports Complex Restroom & Community Space,"400-408 Gilman St, Berkeley, CA 94710",,,Park,State / County,"This is a Measure T1 Phase 2 project. The Tom Bates Regional Sports Complex is considered to be the most highly used fields in the region. The recently replaced artificial fields provide up to 300,000 players and serves approximately 19,000 youth and adults annually. The complex does not have a permanent meeting space or restroom at the site. The finalized space planning phase consists of a restroom, meeting room, and a storage area, with a priority on ease of access from the fields, minimal impact to parking, and good security. With the completion of the space planning phase, the remaining funds has been allocated to extend the sewer line as part of the ACTC’s Gilman Street at I-80 Interchange Project to serve this new restroom and community space facility. This project is currently in 30% design. A design team will be identified to begin final design to prepare construction documents and to obtain any applicable permits. Construction is anticipated to start in 2023.",Berkeley
Tom Bates Regional Sports Complex Synthetic Turf Replacement ,"400-408 Gilman St, Berkeley, CA 94710",,,Park,State / County,"This is a Measure T1 Phase 1 project. The artificial turf fields at the Tom Bates Regional Sports Complex are considered to be the most highly used fields in Northern California serving approximately 19,000 youth and adults who use these fields annually. This project is to replace the existing worn-out turf with a safer and more durable turf system that offers the best playability for users.",Berkeley
Tuolumne Camp Construction,"Berkeley Tuolumne Camp, 31858 Hardin Flat Road, Groveland, CA 95321",,,Facility,State / County,"Berkeley Tuolumne Camp, in operation since 1922, has been a highly regarded summer tradition for generations of campers. More than 4,000 individuals annually enjoyed fun-filled activities and heartfelt traditions at Tuolumne Camp. On August 25, 2013, Berkeley Tuolumne Camp was largely destroyed by the Rim Fire, one of the largest and most damaging wildfires in California’s history. This was a devastating setback for the City of Berkeley and generations of staff and campers. Of the 138 total structures at the Camp, only 18 tent cabins and the restroom near Sun City survived the fire. The Berkeley Tuolumne Camp Project will replace the Camp facilities that were destroyed by the Rim Fire in 2013. In order to comply with current state, local and federal code, Camp facilities have been relocated and reconfigured, and additional off-street parking will be constructed. The work includes construction of buildings, bridges, parking, pathways and utilities. Construction began in May 2020, and is expected to take about 2 years to complete, depending on weather or unforeseen conditions. No interruptions to local residential sewer, water, gas, electric or phone service are anticipated. Hardin Flat Road in the immediate vicinity of Camp will be subject to intermittent closure or traffic control during construction. The entire Berkeley Tuolumne Camp permit area will be closed to pedestrian and recreational users throughout the construction.",Berkeley
