Permit.Number,Status,Date.Issued,Building.Type,Work.Type,StreetNumber,StreetName,StreetType,Valuation,Work.Description,Property.Address
B2022-03754,Issued,08/25/2022,Residential,Alteration,1237,OXFORD,St,24115.86,"Revised: Install two headed ductless mini split system.  Water heater removed from scope of work. 
Install two headed ductless mini split system. Replace gas water heater with
hybrid heat pump water heater.","1237 OXFORD St, Berkeley, CA"
B2022-03756,Issued,08/11/2022,Residential,Alteration,2615,MABEL,St,0.0,Remove PG&E Electrical Meter,"2615 MABEL St, Berkeley, CA"
B2022-03757,Issued,08/11/2022,Residential,Alteration,27,MENLO,Pl,0.0,Service upgrade to 200amps,"27 MENLO Pl, Berkeley, CA"
B2022-03763,Issued,08/16/2022,Residential,Alteration,2434,NINTH,St,0.0,Add 1.48kW to (E) Solar PV Installation - 4 modules flush mounted on roof,"2434 NINTH St, Berkeley, CA"
B2022-03766,Issued,08/23/2022,Residential,Alteration,818,OXFORD,St,,16 kw - Solar system.  Fire zone 2,"818 OXFORD St, Berkeley, CA"
B2022-03768,Issued,08/16/2022,Residential,Alteration,916,OXFORD,St,0.0,"Upgrade service to 200A;
install NEMA plug for ev;
add 50A kitchen circuit","916 OXFORD St, Berkeley, CA"
B2022-03770,Issued,08/12/2022,Residential,New,1631,WOOLSEY,St,500.0,Install NEMA 14-50 dedicated line for EV charger in driveway.,"1631 WOOLSEY St, Berkeley, CA"
B2022-03771,Issued,09/28/2022,Residential,,2617,HILLEGASS,Ave,12000.0,Voluntary strengthening of two existing columns at the front of the building.,"2617 HILLEGASS Ave, Berkeley, CA"
B2022-03773,Issued,08/16/2022,Residential,Alteration,1617,TYLER,St,0.0,"New PV installation, roof mounted, 4.0 kW system size, 10 modules","1617 TYLER St, Berkeley, CA"
B2022-03775,Issued,08/18/2022,Residential,Alteration,2583,CEDAR,St,20500.0,"Install 4.250 KW (DC) PV solar panels (10 modules) on the roof with a new 100 AMP main service panel & 125 AMP bus. Rafter upgrades. Fire Zone 2 Property.
(Initiated on Permit #B2022-02322.)","2583 CEDAR St, Berkeley, CA"
B2022-03776,Issued,08/15/2022,Residential,Alteration,1806,M L KING JR,Way,14000.0,"Remove old shingles and repair any dry rot. Install new edge metals, gutters, and downspouts. Install new synthetic underlayment and composition shingles, and torch down bitumen on flat roofs.","1806 M L KING JR Way, Berkeley, CA"
B2022-03777,Issued,08/15/2022,Residential,Alteration,1222,FRANCISCO,St,19600.0,Remove the existing roof shingles and replace with new. Like for like replacement.,"1222 FRANCISCO St, Berkeley, CA"
B2022-03782,Issued,08/31/2022,Residential,Alteration,1609,PARKER,St,0.0,Install 6.54 KW (DC) PV solar panels (20 modules) on the roof with a 125 AMP subpanel.,"1609 PARKER St, Berkeley, CA"
B2022-03790,Issued,08/19/2022,Residential,Alteration,1335,DELAWARE,St,0.0,Install french drain.,"1335 DELAWARE St, Berkeley, CA"
B2022-03793,Issued,09/08/2022,Residential,Alteration,1144,EUCLID,Ave,40000.0,Interior kitchen remodel. Fire Zone 2 Property.,"1144 EUCLID Ave, Berkeley, CA"
B2022-03794,Issued,08/16/2022,Residential,Alteration,980,ADDISON,St,3500.0,"Per Housing Report #H2021-02882, Dated June 30, 2022. Items #19, 23, 34, & 35. Remove & replace five (5) windows, same sizes & locations.","980 ADDISON St, Berkeley, CA"
B2022-03795,Issued,08/22/2022,Residential,Alteration,1858,THOUSAND OAKS,Blvd,0.0,Install 3.200 KW (DC) PV solar panels (8 modules) on the roof. Fire Zone 2 Property.,"1858 THOUSAND OAKS Blvd, Berkeley, CA"
B2022-03797,Issued,08/16/2022,Residential,Alteration,2339,STUART,St,3870.0,"Remove & replace three (3) livingroom windows, same sizes & locations.","2339 STUART St, Berkeley, CA"
B2022-03798,Issued,08/16/2022,Residential,Alteration,1591,SAN LORENZO,Ave,8900.0,Re-roof: install 40 year Certain Teed Landmark Class A roofing.,"1591 SAN LORENZO Ave, Berkeley, CA"
B2022-03799,Issued,12/12/2022,Residential,Alteration,2723,STUART,St,0.0,Install a 200 A  3 Position Panel. Pending revision.,"2723 STUART St, Berkeley, CA"
B2022-03800,Issued,10/11/2022,Residential,Alteration,3130,ETON,Ave,98000.0,"Remodel kitchen, two (2) bathrooms & half bath. Replace & reduce the size of two (2) windows. Remove & replace non bearing partition walls. Two permits, one set of plans (see Permit #B2022-04498 for work in accessory structure in rear).","3130 ETON Ave, Berkeley, CA"
B2022-03801,Issued,08/16/2022,Residential,Alteration,86,SOUTHAMPTON,Ave,20000.0,"Remove knob and tube wiring and replace. Provide grounded outlets, insulate floor and install drywall with RC in basement ceiling for sound.","86 SOUTHAMPTON Ave, Berkeley, CA"
B2022-03805,Issued,08/17/2022,Residential,Alteration,2211,OREGON,St,6600.0,Install two ducted mini-split heat pump systems and (2) two 240v circuits.,"2211 OREGON St, Berkeley, CA"
B2022-03815,Issued,08/22/2022,Residential,Alteration,1245,FRANCISCO,St,0.0,Install 6.800 KW (DC) PV solar panels (17 modules) on the roof with a NEMA 14-50 EV charger outlet.,"1245 FRANCISCO St, Berkeley, CA"
B2022-03816,Issued,08/25/2022,Residential,Addition/Alteration,1735,CALIFORNIA,St,3000.0,Adding washer and dryer enclosure to the rear of the building.,"1735 CALIFORNIA St, Berkeley, CA"
B2022-03819,Issued,08/31/2022,Residential,Alteration,1813,CEDAR,St,0.0,Install 6 KW (DC) PV solar panels (15 modules) on the roof.,"1813 CEDAR St, Berkeley, CA"
B2022-03820,Issued,09/27/2022,Residential,Alteration,1472,TENTH,St,0.0,Install 6.0 (DC) PV solar panels (15 modules) on the roof.,"1472 TENTH St, Berkeley, CA"
B2022-03822,Issued,08/30/2022,Residential,Alteration,751,SPRUCE,St,0.0,Install 6 KW (DC) PV solar panels (15 modules) on the roof. Fire Zone 2 Property.,"751 SPRUCE St, Berkeley, CA"
B2022-03823,Issued,09/12/2022,Residential,Alteration,1608,SCENIC,Ave,0.0,2.8 kW grid-tied rooftop solar PV system (8 solar PV modules with 1 inverter),"1608 SCENIC Ave, Berkeley, CA"
B2022-03824,Issued,08/19/2022,Residential,Alteration,570,NEILSON,St,0.0,Install 3.96 KW (DC) PV solar panels (11 modules) on the roof with new EV charger.,"570 NEILSON St, Berkeley, CA"
B2022-03826,Issued,08/17/2022,Residential,Alteration,34,TUNNEL,Rd,0.0,Installing gas line underground for gas meter location.,"34 TUNNEL Rd, Berkeley, CA"
B2022-03827,Issued,08/17/2022,Residential,Alteration,1828,FIFTH,St,15975.0,Residential Re-roof. Tear off and new roof installation.,"1828 FIFTH St, Berkeley, CA"
B2022-03836,Issued,09/08/2022,Residential,Alteration,445,BOYNTON,Ave,19500.0,Install to hand dug bench piers to re-level floors.  Property in Fire Zone 2.,"445 BOYNTON Ave, Berkeley, CA"
B2022-03839,Issued,11/23/2022,Residential,Alteration,910,HILLDALE,Ave,40000.0,Voluntary seismic retrofit: crawl space strengthening. Will be applying for Transfer Tax Refund.  Property in Fire Zone 2.,"910 HILLDALE Ave, Berkeley, CA"
B2022-03840,Issued,08/18/2022,Residential,Alteration,2315,PARKER,St,0.0,"For Housing case H2022-00277. Replace motorhead on garage gate opener. Not a new install, but repair. Original accessories and brackets used.","2315 PARKER St, Berkeley, CA"
B2022-03841,Issued,08/23/2022,Residential,Alteration,1155,GLEN,Ave,0.0,Install 12.8 KW PV solar panels on the roof with a 13.5 KWh Energy Storage System. Fire Zone 2 Property.,"1155 GLEN Ave, Berkeley, CA"
B2022-03856,Issued,08/23/2022,Residential,New,2337,WARD,St,0.0,Install EV Charging Receptacle,"2337 WARD St, Berkeley, CA"
B2022-03858,Issued,09/26/2022,Residential,Alteration,2009,MCGEE,Ave,2000.0,"Housing Report #H2022-00280, Items #1 & #5. Remove & replace windows, address emergency egress & safety glazing.
Housing Report #H2022-00281, Item #1. Remove & replace windows, address safety glazing.
Housing Report #H2022-00283, Item #5. Remove & replace windows, address emergency egress openings. Unit #1, #2 (First Floor), #5 & #6 (Second Floor). Seven (7) windows in total (4 living room & 3 bedroom).","2009 MCGEE Ave, Berkeley, CA"
B2022-03859,Issued,09/26/2022,Residential,Alteration,2927,OTIS,St,4000.0,Voluntary seismic retrofit in accordance with Plan Set A,"2927 OTIS St, Berkeley, CA"
B2022-03871,Issued,10/31/2022,Residential,Alteration,1306,CHANNING,Way,96000.0,"Remove & replace four (4) windows, same sizes & locations, infill one (1) window. Remove & replace partition walls. Remodel kitchen, combine bedrooms & enlarge first floor bathroom. New bath & laundry on second floor.","1306 CHANNING Way, Berkeley, CA"
B2022-03877,Issued,08/22/2022,Residential,Alteration,1823,ALLSTON,Way,5000.0,"Upgrade main electrical service to 125 amps.
Revised: Upgrade electrical service to 200 amps.","1823 ALLSTON Way, Berkeley, CA"
B2022-03885,Issued,10/05/2022,Residential,Alteration,816,COLUSA,Ave,58000.0,Replace deteriorated foundation in basement.  Replace front entry stairs in existing location.  Voluntary seismic upgrade in area of work.,"816 COLUSA Ave, Berkeley, CA"
B2022-03886,Issued,08/26/2022,Residential,Alteration,1716,MILVIA,St,20197.14,Install four headed ductless mini split system.,"1716 MILVIA St, Berkeley, CA"
B2022-03895,Issued,08/22/2022,Residential,Alteration,710,WILDCAT CANYON,Rd,0.0,"200A main panel upgrade, 150A sub panel.","710 WILDCAT CANYON Rd, Berkeley, CA"
B2022-03896,Issued,08/24/2022,Residential,Alteration,2957,BENVENUE,Ave,0.0,Install 5.6 KW PV solar panels (14 modules) on the roof.,"2957 BENVENUE Ave, Berkeley, CA"
B2022-03898,Issued,08/22/2022,Residential,Alteration,1613,SIXTY-SECOND,St,0.0,Replace existing tanked water heater with tankless in same location.,"1613 SIXTY-SECOND St, Berkeley, CA"
B2022-03899,Issued,09/15/2022,Residential,New,2099,M L KING JR,Way,1800.0,Install 200amp temp power meter for construction power,"2099 M L KING JR Way, Berkeley, CA"
B2022-03900,Issued,08/22/2022,Residential,Alteration,2323,ROSE,St,0.0,200A main panel upgrade.,"2323 ROSE St, Berkeley, CA"
B2022-03904,Issued,08/22/2022,Residential,Alteration,2646,DWIGHT,Way,4300.0,Remove and replace bathtub and shower walls and paint. Replace Shower Valve.,"2646 DWIGHT Way, Berkeley, CA"
B2022-03906,Issued,08/24/2022,Residential,Alteration,1236,RUSSELL,St,19407.0,"Upgrade main panel 200amp, install 7 20amp circuits, 2 15amp circuits, 12 switches, 20 receptacles, 14 lights, 1 bath fan","1236 RUSSELL St, Berkeley, CA"
B2022-03913,Issued,09/16/2022,Residential,Alteration,1412,CYPRESS,St,0.0,"Install 5.60 KW (DC) PV solar panels (14 modules) on the roof, upgrade main service panel to 200 AMPs.","1412 CYPRESS St, Berkeley, CA"
B2022-03914,Issued,12/20/2022,Residential,Addition/Alteration,2916,SHASTA,Rd,100000.0,"Convert existing crawl space into a livable space 589 sq.ft. kitchen remodel, existing bathrooms remodel, add 1.5 baths, replace existing windows, enlarge some small windows, new slab, replace existing furnace, replace existing water heater for tankless, add a new sliding door, remove existing skylights on patio. Fire Zone 2","2916 SHASTA Rd, Berkeley, CA"
B2022-03918,Issued,08/25/2022,Residential,Alteration,1237,HASKELL,St,0.0,Install 3.2 KW (DC) PV solar panels (8 modules) on the roof.,"1237 HASKELL St, Berkeley, CA"
B2022-03920,Issued,09/01/2022,Residential,Alteration,1719,VINE,St,0.0,Install 6.4 KW (DC) PV solar panels (16 modules) on the roof.,"1719 VINE St, Berkeley, CA"
B2022-03920-REV01,Issued,09/29/2022,Residential,Alteration,1719,VINE,St,0.0,Revision 01 to increase system size to 6.0 KW (DC) / 5.55 KW (AC) PV solar panels (15 modules total).,"1719 VINE St, Berkeley, CA"
B2022-03929,Issued,08/23/2022,Residential,Alteration,24,ROBLE,Ct,0.0,replace water main with copper,"24 ROBLE Ct, Berkeley, CA"
B2022-03930,Issued,08/23/2022,Residential,Alteration,3200,KING,St,17190.0,Reroof-remove existing shingles and replace,"3200 KING St, Berkeley, CA"
B2022-03931,Issued,08/31/2022,Residential,Alteration,1630,WOOLSEY,St,0.0,Replace existing wall heater - Unit B,"1630 WOOLSEY St, Berkeley, CA"
B2022-03932,Issued,09/06/2022,Residential,Alteration,1629,DWIGHT,Way,35000.0,"bathroom renovation-replace shower, toilet and vanity in existing location and replace windows.","1629 DWIGHT Way, Berkeley, CA"
B2022-03933,Issued,08/23/2022,Residential,Alteration,2401,PIEDMONT,Ave,0.0,Replace main shut off valve.,"2401 PIEDMONT Ave, Berkeley, CA"
B2022-03935,Issued,08/23/2022,Residential,Alteration,1332,BLAKE,St,0.0,Replace water Heater,"1332 BLAKE St, Berkeley, CA"
B2022-03936,Issued,08/23/2022,Residential,Alteration,1332,BLAKE,St,0.0,Replace water heaters for units A & B.,"1332 BLAKE St, Berkeley, CA"
B2022-03938,Issued,10/20/2022,Residential,Demolition,1150,SPRUCE,St,900.0,Demo (E) garage per N.O.V. dated 07/14/22,"1150 SPRUCE St, Berkeley, CA"
B2022-03941,Issued,08/30/2022,Residential,Alteration,1641,TACOMA,Ave,0.0,Replace existing furnace with ducted mini split system. Duct replacement more than 40 ft.,"1641 TACOMA Ave, Berkeley, CA"
B2022-03942,Issued,09/12/2022,Residential,Alteration,1865,EUCLID,Ave,29500.0,Interior remodel of Unit 14 in existing 3-story building with basement. Scope includes remodel kitchen and bathroom; new lighting and electrical; new mechanical ventilation & plumbing system; new finishes.  Property in Fire Zone 2.,"1865 EUCLID Ave, Berkeley, CA"
B2022-03945,Issued,10/04/2022,Residential,Alteration,495,VINCENTE,Ave,0.0,Install 7.2 KW (DC) PV solar panels (18 modules) on the roof with a combiner box. Fire Zone 2 Property.,"495 VINCENTE Ave, Berkeley, CA"
B2022-03946,Issued,08/24/2022,Residential,Alteration,2404,EDWARDS,St,9000.0,200A service upgrade. 90A sub-panel,"2404 EDWARDS St, Berkeley, CA"
B2022-03948,Issued,08/24/2022,Residential,Alteration,1410,BONITA,Ave,10250.0,Remove the rear roof at the back of the house to the solid sheathing. Install comp shingles.,"1410 BONITA Ave, Berkeley, CA"
B2022-03953,Issued,09/19/2022,Residential,Alteration,14,ROSLYN,Ct,0.0,Install three (3) Energy Storage Systems (29.1 KWh) with a backup interface to existing PV solar. Fire Zone 2 Property.,"14 ROSLYN Ct, Berkeley, CA"
B2022-03954,Issued,08/24/2022,Residential,Alteration,1528,ADA,St,0.0,Replace water heater in kind.,"1528 ADA St, Berkeley, CA"
B2022-03955,Issued,09/08/2022,Residential,Alteration,2840,WEBSTER,St,29775.8,Replace existing HVAC with two ducted mini split systems. Install attic insulation.,"2840 WEBSTER St, Berkeley, CA"
B2022-03956,Issued,09/30/2022,Residential,Alteration,31,COLORADO,Ave,25000.0,Replace waterproof membrane under deck.  Property Zone 2.,"31 COLORADO Ave, Berkeley, CA"
B2022-03958,Issued,08/26/2022,Residential,Alteration,2,PARNASSUS,Rd,6900.0,Remove existing roof & install an additional 10.08 KW PV solar roof to existing. (See ESS/PV Permit #B2018-03509 for original install.) Fire Zone 2 Property.,"2 PARNASSUS Rd, Berkeley, CA"
B2022-03960,Issued,09/09/2022,Residential,Alteration,1510,SUMMIT,Rd,11171.0,Engineered voluntary substructural strengthening. For Transfer Tax Rebate. Fire Zone 2 Property.,"1510 SUMMIT Rd, Berkeley, CA"
B2022-03962,Issued,08/25/2022,Residential,Alteration,1027,SIERRA,St,21761.0,Plan Set A - Voluntary substructural strengthening. For Transfer Tax Rebate.,"1027 SIERRA St, Berkeley, CA"
B2022-03964,Issued,12/02/2022,Residential,Alteration,1333,SIXTY-SEVENTH,St,0.0,"Install 8.14 KW (DC) PV solar panels (22 modules) on the roof. Replace existing 200 AMP main service panel, new 200 AMP main circuit & 60 AMP disconnect.","1333 SIXTY-SEVENTH St, Berkeley, CA"
B2022-03965,Issued,10/05/2022,Residential,,791,CONTRA COSTA,Ave,50000.0,"Replace wood retaining wall and another retaining wall, total of 2, with concrete retaining walls.  Property in Fire Zone 2.","791 CONTRA COSTA Ave, Berkeley, CA"
B2022-03969,Issued,08/25/2022,Residential,Alteration,1135,GRIZZLY PEAK,Blvd,1900.0,50 Amp E.V charging station & fixed outlet 50 Amp range.,"1135 GRIZZLY PEAK Blvd, Berkeley, CA"
B2022-03970,Issued,09/20/2022,Residential,Alteration,1214,OREGON,St,9603.0,Plan Set A (2008) 2020 CBC *For Transfer Tax Rebate*,"1214 OREGON St, Berkeley, CA"
B2022-03974,Issued,09/09/2022,Residential,Alteration,1370,EUCLID,Ave,0.0,Install 20 KWh Energy Storage System to existing PV solar. Fire Zone 2 Property.,"1370 EUCLID Ave, Berkeley, CA"
B2022-03975,Issued,09/08/2022,Residential,Alteration,1636,WARD,St,22000.0,"Replace siding with fiber cement, replace windows, add insulation, sheathing, upgrade electrical.  Remove side stairs and fill in door with wall.","1636 WARD St, Berkeley, CA"
B2022-03978,Issued,09/23/2022,Residential,Alteration,2115,SACRAMENTO,St,10000.0,Voluntary seismic retrofit of crawl space and basement. Voluntary underpinning of concrete foundation.,"2115 SACRAMENTO St, Berkeley, CA"
B2022-03980,Issued,08/29/2022,Residential,Alteration,3112,ELLIS,St,0.0,Install 4.40 KW (DC) PV solar panels (11 modules) on the roof.,"3112 ELLIS St, Berkeley, CA"
B2022-03982,Issued,09/12/2022,Residential,Alteration,2133,SPAULDING,Ave,0.0,Install 8.4 KW (DC) PV solar panels (21 modules) on the roof.,"2133 SPAULDING Ave, Berkeley, CA"
B2022-03983,Issued,08/25/2022,Residential,Alteration,12,TWAIN,Ave,60000.0,"Remodel master bath and 1/2 bath on upper floor, remodel guest bath on lower floor.  Fire zone 2","12 TWAIN Ave, Berkeley, CA"
B2022-03985,Issued,09/12/2022,Residential,Alteration,2133,SPAULDING,Ave,0.0,Install 8.40 KW (DC) PV solar panels (21 modules) on the roof. Derate main circuit from 125 AMPs to 100 AMPs.,"2133 SPAULDING Ave, Berkeley, CA"
B2022-03986,Issued,08/29/2022,Residential,Alteration,2300,ACTON,St,0.0,Install 4.680 KW (DC) PV solar panels (13 modules) on the roof with a 50 AMP NEMA 1450 Electric Vehicle Charger in garage.,"2300 ACTON St, Berkeley, CA"
B2022-03988,Issued,08/25/2022,Residential,Alteration,2447,DERBY,St,0.0,Replace water heater Replace bedroom heater in unit E. Per housing report H2021-02625 & H2021-02468,"2447 DERBY St, Berkeley, CA"
B2022-03990,Issued,10/11/2022,Residential,Alteration,2116,CARLETON,St,4000.0,Bathroom remodel- Replace tub with shower.,"2116 CARLETON St, Berkeley, CA"
B2022-03992,Issued,09/02/2022,Residential,Alteration,1314,TALBOT,Ave,,"(N) residential rooftop solar PV, (11) modules; (3.8) kW total","1314 TALBOT Ave, Berkeley, CA"
B2022-03994,Issued,08/29/2022,Residential,Alteration,581,SANTA ROSA,Ave,0.0,New 4.4kW Solar PV Installation - 11 modules flush mounted on roof.  Fire zone 2,"581 SANTA ROSA Ave, Berkeley, CA"
B2022-03995,Issued,08/26/2022,Residential,Alteration,390,VASSAR,Ave,0.0,Install 12.8 kw solar PV Rooftop Flush mount.  Fire zone 2,"390 VASSAR Ave, Berkeley, CA"
B2022-04000,Issued,08/26/2022,Residential,Alteration,1347,CARLOTTA,Ave,6603.19,replacing the main water line 15 feet from home to the meter in sidewalk.,"1347 CARLOTTA Ave, Berkeley, CA"
B2022-04002,Issued,09/20/2022,Residential,Alteration,1417,NORTHSIDE,Ave,14603.0,Engineered Voluntary Seismic Retrofit *For transfer Tax Rebate*,"1417 NORTHSIDE Ave, Berkeley, CA"
B2022-04004,Issued,08/26/2022,Residential,Alteration,2340,BROWNING,St,8735.25,Installation of new 3/4 inch main water service line from the meter to the home approximately 30’. Excavate an exposed old waterline approximate 24 inches as per code [x.REF P2022-01286],"2340 BROWNING St, Berkeley, CA"
B2022-04008,Issued,08/30/2022,Residential,Alteration,2214,CURTIS,St,0.0,Install 3.950 KW (DC) PV solar panels (10 modules) on the roof.,"2214 CURTIS St, Berkeley, CA"
B2022-04015,Issued,08/29/2022,Residential,Alteration,1612,CORNELL,Ave,0.0,Install temporary power pole.,"1612 CORNELL Ave, Berkeley, CA"
B2022-04016,Issued,08/29/2022,Residential,Alteration,1115,OXFORD,St,1000.0,Dry rot repair at and around chimney.,"1115 OXFORD St, Berkeley, CA"
B2022-04017,Issued,11/14/2022,Residential,Alteration,514,GRIZZLY PEAK,Blvd,82500.0,"**REV01 Valuation increased by $32,500 - Valuation is $82,500.  Remove and replace plywood and exterior coat of stucco at 80-90% of the residence due to water damage and dry rot.**


Enlarge existing door & window openings & remodel kitchen. 125 amp subpanel in garage. Fire Zone 2 Property.","514 GRIZZLY PEAK Blvd, Berkeley, CA"
B2022-04018,Issued,08/29/2022,Residential,Alteration,2124,CHANNING,Way,480.0,Corretions per Housing Case H2022-00498. Item #7) Bathroom window to be replaced - like for like. Item #8) Correct water heater installation.,"2124 CHANNING Way, Berkeley, CA"
B2022-04021,Issued,08/29/2022,Residential,Alteration,2529,ELLSWORTH,St,0.0,Main Panel upgrade- 400 AMPs- AIC Letter at inspection. Gas line modification on Unit 3.,"2529 ELLSWORTH St, Berkeley, CA"
B2022-04024,Issued,11/16/2022,Residential,Alteration,940,BANCROFT,Way,14900.0,"2-80% 70,000 BTUS FAU C/O IN CLOSET","940 BANCROFT Way, Berkeley, CA"
B2022-04026,Issued,10/11/2022,Residential,Alteration,2310,TENTH,St,20000.0,Engineered Foundation repair and seismic retrofit.,"2310 TENTH St, Berkeley, CA"
B2022-04028,Issued,10/03/2022,Residential,Alteration,1102,AMADOR,Ave,0.0,"Install 5.20 KW (DC) PV solar panels (14 modules) on the roof with a 10 KWh battery backup, 125 AMP backup load center. De-rate main breaker to 100A. Fire Zone 2 Property.
Revision 01 to revise panel layout. 
Revision 02 to change the number of modules (13) & layout. Move battery to garage, remove derating from scope.","1102 AMADOR Ave, Berkeley, CA"
B2022-04028-REV01,Issued,10/14/2022,Residential,Alteration,1102,AMADOR,Ave,0.0,Revision 01 to revise panel layout. No increase in valuation. Fire Zone 2 Property.,"1102 AMADOR Ave, Berkeley, CA"
B2022-04028-REV02,Issued,10/31/2022,Residential,Alteration,1102,AMADOR,Ave,0.0,"Revision 02 to change the number of modules (13) & layout. Move battery to garage, remove derating from scope. No increase in valuation. Fire Zone 2 Property.","1102 AMADOR Ave, Berkeley, CA"
B2022-04032,Issued,11/30/2022,Residential,Alteration,2473,PRINCE,St,15000.0,Interior bath remodel.,"2473 PRINCE St, Berkeley, CA"
B2022-04033,Issued,09/26/2022,Residential,Alteration,2527,SAN PABLO,Ave,0.0,Install 29.9 KW PV solar panels (65 modules) on the roof.,"2527 SAN PABLO Ave, Berkeley, CA"
B2022-04035,Issued,09/08/2022,Residential,Alteration,1225,KAINS,Ave,20960.02,Replace existing HVAC system with ducted mini split system. Duct replacement more than 40 ft.,"1225 KAINS Ave, Berkeley, CA"
B2022-04038,Issued,10/24/2022,Residential,Alteration,3232,BAKER,St,0.0,Install 3.80 KW (AC) / 4.015 KW (DC) PV solar panels (11 modules) on the roof. Upgrade main service panel to 200 AMPs with a 200 AMP main circuit. (Add to existing PV solar.),"3232 BAKER St, Berkeley, CA"
B2022-04039,Issued,08/30/2022,Residential,Alteration,1408,BLAKE,St,0.0,PG & E Service Re-check.,"1408 BLAKE St, Berkeley, CA"
B2022-04043,Issued,08/30/2022,Residential,,1701,TENTH,St,0.0,Upgrade the main service electrical panel to 200 amps only,"1701 TENTH St, Berkeley, CA"
B2022-04047,Issued,09/01/2022,Residential,Alteration,1209,BANCROFT,Way,12000.0,Re-Roof,"1209 BANCROFT Way, Berkeley, CA"
B2022-04048,Issued,10/04/2022,Residential,Alteration,1675,EUCLID,Ave,0.0,"Corrections per Housing Case #H2019-00131. Items 11,12,13,22. Replace fuse panel. Add 2 circuits in kitchen. Add GFI in bathroom.","1675 EUCLID Ave, Berkeley, CA"
B2022-04049,Issued,09/20/2022,Residential,Alteration,1480,NINTH,St,2000.0,"Termite Repair per Report #3634, Dated August 16,2022. All items. Framing, subfloor, siding, bathroom cabinets, cripple wall framing & studs. Subject to Field Inspection.","1480 NINTH St, Berkeley, CA"
B2022-04051,Issued,10/06/2022,Residential,Alteration,2624,PIEDMONT,Ave,15865.0,Upgrade rafters & install 4.45 KW (DC) PV solar panels (11 modules) on the roof to existing PV solar.,"2624 PIEDMONT Ave, Berkeley, CA"
B2022-04051-REV01,Issued,12/05/2022,Residential,Alteration,2624,PIEDMONT,Ave,7410.0,"Revision 01 to reduce the system size to 3.90 KW (DC) / 3.80 KW (AC) PV solar panels (10 modules), change the module type & change the module layout. Increase valuation from $8,455 to $15,865.","2624 PIEDMONT Ave, Berkeley, CA"
B2022-04052,Issued,09/29/2022,Residential,Demolition,1625,CHESTNUT,St,5000.0,Demolish detached garage.,"1625 CHESTNUT St, Berkeley, CA"
B2022-04053,Issued,09/13/2022,Residential,Alteration,2205,JEFFERSON,Ave,20885.0,"Remove & replace seven (7) windows, same sizes & locations.","2205 JEFFERSON Ave, Berkeley, CA"
B2022-04057,Issued,10/06/2022,Residential,Alteration,1756,MARIN,Ave,29171.0,"** Contractor added Electrical on 4-3-23**
Replace drywall, insulation, shower pan/walls. All repairs like for like.","1756 MARIN Ave, Berkeley, CA"
B2022-04060,Issued,09/07/2022,Residential,Alteration,486,VASSAR,Ave,1375.0,EV outlet NEMA 14-50 240V-50A installation in the garage,"486 VASSAR Ave, Berkeley, CA"
B2022-04063,Issued,08/31/2022,Residential,Alteration,1625,CORNELL,Ave,10064.0,"Remove & replace twelve (12) windows, same sizes & locations.","1625 CORNELL Ave, Berkeley, CA"
B2022-04066,Issued,08/31/2022,Residential,Alteration,2326,HILGARD,Ave,7000.0,700 sq ft reroof of tar and gravel due to leak,"2326 HILGARD Ave, Berkeley, CA"
B2022-04067,Issued,10/27/2022,Residential,Alteration,2833,ASHBY,Ave,11622.0,Cripple wall bracing for transfer tax rebate.,"2833 ASHBY Ave, Berkeley, CA"
B2022-04069,Issued,09/12/2022,Residential,Alteration,1517,EDITH,St,0.0,Install 3.795 KW PV solar panels (11 modules) on the roof with a new 125 AMP subpanel.,"1517 EDITH St, Berkeley, CA"
B2022-04070,Issued,09/06/2022,Residential,Alteration,2308,JEFFERSON,Ave,17200.0,Install 4.8 KW (DC) PV solar panels (12 modules) on the roof.,"2308 JEFFERSON Ave, Berkeley, CA"
B2022-04071,Issued,08/31/2022,Residential,Alteration,1630,WOOLSEY,St,0.0,Replace existing wall heater - Unit C,"1630 WOOLSEY St, Berkeley, CA"
B2022-04072,Issued,10/03/2022,Residential,Alteration,91,AVENIDA,Dr,18000.0,"Remove & replace eight (8) windows, same sizes & locations. Fire Zone 2 Property.","91 AVENIDA Dr, Berkeley, CA"
B2022-04073,Issued,08/31/2022,Residential,Alteration,2331,SACRAMENTO,St,9680.0,Reroof: remove composition shingles and install felt and new composition shingles.,"2331 SACRAMENTO St, Berkeley, CA"
B2022-04075,Issued,09/20/2022,Residential,Alteration,1398,QUEENS,Rd,14500.0,Interior remodel of basement bathroom. No structural work. Fire Zone 2 Property.,"1398 QUEENS Rd, Berkeley, CA"
B2022-04076,Issued,09/02/2022,Residential,Alteration,2433,MCKINLEY,Ave,0.0,"Install 9.875 KW (DC) PV solar panels (25 modules) on the roof, upgrade main service panel to 125 AMPs.","2433 MCKINLEY Ave, Berkeley, CA"
B2022-04078,Issued,10/04/2022,Residential,Alteration,3139,ELLIS,St,31487.1,Replace two furnaces with two ducted mini spilt systems.,"3139 ELLIS St, Berkeley, CA"
B2022-04079,Issued,09/07/2022,Residential,Alteration,3121,LEWISTON,Ave,28450.0,Engineered seismic retrofit in accordance with CBC Chapter A3 for the Earthquake Brace and Bolt program. Qualifies for Transfer Tax Rebate.,"3121 LEWISTON Ave, Berkeley, CA"
